district,avg_tourists
Bhadradri Kothagudem,450020
Jagtial,235490
Jangaon,17214
Jayashankar Bhoopalpally,409018
Jogulamba Gadwal,141945
Kamareddy,37
Komaram Bheem Asifabad,1932
Mahabubabad,12515
Mancherial,18068
Medchal,0
Nagarkurnool,154674
Nirmal,277412
Peddapalli,1187
Rajanna Sircilla,870068
Ranga Reddy,0
Sangareddy,217177
Siddipet,120318
Suryapet,0
Vikarabad,0
Wanaparthy,18543
Warangal (Rural),17066
Yadadri Bhongir,560272
Narayanapet,32438
Adilabad,152533
Hyderabad,1747937
Karimnagar,197133
Khammam,195382
Mahbubnagar,357919
Medak,427972
Nalgonda,133374
Nizamabad,2420
Warangal (Urban),640138
Mulugu,151650
