District,Murder,Assalut on Women,Sexual Harassment,Kidnapping,Human Trafficking,Rape,Robbery
Adilabad,12,7,13,25,0,12,4
Bhadradri Kothagudem,35,65,21,77,0,28,9
Hyderabad,86,126,47,519,8,184,120
Jagtial,16,19,23,21,0,7,7
Jayashankar Bhoopalpally,13,0,14,36,0,4,1
Jogulamba Gadwal,13,12,26,7,0,7,1
Kamareddy ,26,8,24,21,1,9,7
Karimnagar,17,38,35,31,6,17,3
Khammam,14,94,35,79,1,24,11
Kumaram Bheem Asifabad,18,28,9,14,0,13,2
Mahabubabad,13,39,11,47,0,18,2
Mahbubnagar,20,26,8,67,0,26,7
Medak,18,39,5,22,0,5,4
Mulugu,9,10,9,25,0,2,6
Nagarkurnool,18,31,2,31,0,7,0
Nalgonda,46,95,20,31,0,29,7
Narayanpet,10,5,5,28,0,10,1
Nirmal,9,21,25,18,0,7,1
Nizamabad,32,50,30,29,2,28,16
Rajanna Siricilla,9,14,14,12,0,7,6
Ramagundam,33,53,41,56,0,31,9
Sangareddy,49,52,11,25,0,11,11
Secunderabad,3,0,4,3,0,0,13
Siddipet,11,55,26,19,0,21,4
Suryapet,29,55,40,34,0,32,2
Vikarabad,28,47,11,29,0,10,2
Wanaparthy,15,19,9,7,0,8,4
Warangal,45,63,42,160,0,35,16
