Source,district,month,year,visitors
domestic,Adilabad,January,2016,792136
domestic,Adilabad,February,2016,937820
domestic,Adilabad,March,2016,582946
domestic,Adilabad,April,2016,341948
domestic,Adilabad,May,2016,252887
domestic,Adilabad,June,2016,368237
domestic,Adilabad,July,2016,447562
domestic,Adilabad,August,2016,614285
domestic,Adilabad,September,2016,491279
domestic,Adilabad,October,2016,94184
domestic,Adilabad,November,2016,99148
domestic,Adilabad,December,2016,53125
domestic,Adilabad,January,2017,318799
domestic,Adilabad,February,2017,83316
domestic,Adilabad,March,2017,27508
domestic,Adilabad,April,2017,13946
domestic,Adilabad,May,2017,11752
domestic,Adilabad,June,2017,26859
domestic,Adilabad,July,2017,52386
domestic,Adilabad,August,2017,34876
domestic,Adilabad,September,2017,42699
domestic,Adilabad,October,2017,41666
domestic,Adilabad,November,2017,117322
domestic,Adilabad,December,2017,54251
domestic,Adilabad,January,2018,320356
domestic,Adilabad,February,2018,36550
domestic,Adilabad,March,2018,23011
domestic,Adilabad,April,2018,14183
domestic,Adilabad,May,2018,8197
domestic,Adilabad,June,2018,12052
domestic,Adilabad,July,2018,24666
domestic,Adilabad,August,2018,38939
domestic,Adilabad,September,2018,25875
domestic,Adilabad,October,2018,30257
domestic,Adilabad,November,2018,49181
domestic,Adilabad,December,2018,61476
domestic,Adilabad,January,2019,25071
domestic,Adilabad,February,2019,406177
domestic,Adilabad,March,2019,14347
domestic,Adilabad,April,2019,9972
domestic,Adilabad,May,2019,6997
domestic,Adilabad,June,2019,9161
domestic,Adilabad,July,2019,11791
domestic,Adilabad,August,2019,108173
domestic,Adilabad,September,2019,37589
domestic,Adilabad,October,2019,38184
domestic,Adilabad,November,2019,70344
domestic,Adilabad,December,2019,38089
foreign,Adilabad,January,2019,0
foreign,Adilabad,March,2019,0
foreign,Adilabad,April,2019,0
foreign,Adilabad,May,2019,0
foreign,Adilabad,June,2019,0
foreign,Adilabad,July,2019,0
foreign,Adilabad,September,2019,0
foreign,Adilabad,October,2019,0
foreign,Adilabad,December,2019,0
foreign,Adilabad,January,2018,0
