Source,district,month,year,visitors
foreign,Adilabad,January,2019,0
foreign,Adilabad,March,2019,0
foreign,Adilabad,April,2019,0
foreign,Adilabad,May,2019,0
foreign,Adilabad,June,2019,0
foreign,Adilabad,July,2019,0
foreign,Adilabad,September,2019,0
foreign,Adilabad,October,2019,0
foreign,Adilabad,December,2019,0
foreign,Bhadradri Kothagudem,January,2019,0
foreign,Bhadradri Kothagudem,February,2019,0
foreign,Bhadradri Kothagudem,March,2019,0
foreign,Bhadradri Kothagudem,April,2019,0
foreign,Bhadradri Kothagudem,May,2019,0
foreign,Bhadradri Kothagudem,June,2019,0
foreign,Bhadradri Kothagudem,July,2019,0
foreign,Bhadradri Kothagudem,August,2019,0
foreign,Bhadradri Kothagudem,September,2019,0
foreign,Bhadradri Kothagudem,October,2019,0
foreign,Bhadradri Kothagudem,November,2019,0
foreign,Bhadradri Kothagudem,December,2019,0
foreign,Jagtial,January,2019,0
foreign,Jagtial,February,2019,0
foreign,Jagtial,March,2019,0
foreign,Jagtial,April,2019,0
foreign,Jagtial,May,2019,0
foreign,Jagtial,June,2019,0
foreign,Jagtial,July,2019,0
foreign,Jagtial,August,2019,0
foreign,Jagtial,September,2019,0
foreign,Jagtial,October,2019,0
foreign,Jagtial,November,2019,0
foreign,Jagtial,December,2019,0
foreign,Jangaon,January,2019,0
foreign,Jangaon,February,2019,0
foreign,Jangaon,March,2019,0
foreign,Jangaon,April,2019,0
foreign,Jangaon,May,2019,0
foreign,Jangaon,June,2019,0
foreign,Jangaon,July,2019,0
foreign,Jangaon,August,2019,0
foreign,Jangaon,September,2019,0
foreign,Jangaon,October,2019,0
foreign,Jangaon,November,2019,0
foreign,Jangaon,December,2019,0
foreign,Jayashankar Bhoopalpally,February,2019,0
foreign,Jayashankar Bhoopalpally,March,2019,0
foreign,Jayashankar Bhoopalpally,April,2019,0
foreign,Jayashankar Bhoopalpally,May,2019,0
foreign,Jayashankar Bhoopalpally,June,2019,0
foreign,Jayashankar Bhoopalpally,July,2019,0
foreign,Jayashankar Bhoopalpally,August,2019,0
foreign,Jayashankar Bhoopalpally,September,2019,0
foreign,Jayashankar Bhoopalpally,October,2019,0
foreign,Jayashankar Bhoopalpally,November,2019,0
foreign,Jayashankar Bhoopalpally,December,2019,0
foreign,Kamareddy,January,2019,0
foreign,Kamareddy,February,2019,0
foreign,Kamareddy,March,2019,0
foreign,Kamareddy,April,2019,0
foreign,Kamareddy,May,2019,0
foreign,Kamareddy,June,2019,0
foreign,Kamareddy,July,2019,0
foreign,Kamareddy,August,2019,0
foreign,Kamareddy,September,2019,0
foreign,Kamareddy,October,2019,0
foreign,Kamareddy,November,2019,0
foreign,Kamareddy,December,2019,0
foreign,Karimnagar,January,2019,0
foreign,Karimnagar,February,2019,0
foreign,Karimnagar,March,2019,0
foreign,Karimnagar,April,2019,0
foreign,Karimnagar,May,2019,0
foreign,Karimnagar,June,2019,0
foreign,Karimnagar,July,2019,0
foreign,Karimnagar,August,2019,0
foreign,Karimnagar,September,2019,0
foreign,Karimnagar,October,2019,0
foreign,Karimnagar,November,2019,0
foreign,Karimnagar,December,2019,0
foreign,Khammam,January,2019,0
foreign,Khammam,February,2019,0
