District,Code,pop_2001,pop_2011,Increased Rate,pop_2019,,,,
Adilabad,1,109529,"7,08,972",5.47,739997,,,,
Bhadradri Kothagudem,2,74049,"10,69,261",13.44,1184228,,,,
Hyderabad,3,273083,"39,43,323",13.44,4367309,,,,
Jagtial,4,68242,"9,85,417",13.44,1091369,,,,
Jangaon,5,43996,"5,66,376",11.87,620159,,,,
Jayashankar Bhoopalpally,6,28862,"4,16,763",13.44,461573,,,,
Jogulamba Gadwal,7,42243,"6,09,990",13.44,675576,,,,
Kamareddy,8,64496,"9,72,625",14.08,1082181,,,,
Karimnagar,9,218302,"10,05,711",3.61,1034756,,,,
Khammam,10,198620,"14,01,639",6.06,1469590,,,,
Komaram Bheem Asifabad,11,35721,"5,15,812",13.44,571272,,,,
Mahabubabad,12,53639,"7,74,549",13.44,857829,,,,
Mahbubnagar,13,63705,"9,19,903",13.44,1018811,,,,
Mancherial,14,55889,"8,07,037",13.44,893810,,,,
Medak,15,41945,"7,67,428",17.3,873640,,,,
Medchal–Malkajgiri,16,168980,"24,40,073",13.44,2702430,,,,
Mulugu,17,17849,"2,57,744",13.44,285457,,,,
Nagarkurnool,18,26157,"8,93,308",33.15,1130213,,,,
Nalgonda,19,111380,"16,18,416",13.53,1793593,,,,
Narayanpet,20,37563,"5,66,874",14.09,630772,,,,
Nirmal,21,75254,"7,09,418",8.43,757261,,,,
Nizamabad,22,288722,"15,71,022",4.44,1626825,,,,
Peddapalli,23,55078,"7,95,332",13.44,880846,,,,
Rajanna Sircilla,24,38230,"5,52,037",13.44,611392,,,,
Ranga Reddy,25,169409,"24,46,265",13.44,2709287,,,,
Sangareddy,26,57113,"15,27,628",25.75,1842319,,,,
Siddipet,27,61809,"10,12,065",15.37,1136509,,,,
Suryapet,28,94585,"10,99,560",10.63,1193067,,,,
Vikarabad,29,42410,"9,27,140",20.86,1081861,,,,
Wanaparthy,30,50114,"5,77,758",10.53,626428,,,,
Warangal (Rural),31,49760,"7,18,537",13.44,795794,,,,
Warangal (Urban),32,74852,"10,80,858",13.44,1197072,,,,
Yadadri Bhongir,33,51208,"7,39,448",13.44,818953,,,,
